Science Fiction,cb1d947a-6333-11e6-8c47-a45e60eb67c5,6.8,G,1951,"{'extraterrestrial-technology','spacecraft','u.s.-president'}","The Day the Earth Stood Still"
Thriller,cb1d947a-6333-11e6-8c47-a45e60eb67c5,6.8,G,1951,"{'extraterrestrial-technology','spacecraft','u.s.-president'}","The Day the Earth Stood Still"
Drama,cb1d72b3-6333-11e6-b384-a45e60eb67c5,6.9,PG,1951,"{'sister-sister-relationship','southern-u.s.','brother-in-law'}","A Streetcar Named Desire"
Romance,cb1d31e3-6333-11e6-95c9-a45e60eb67c5,6.8,G,1951,"{'river','africa','missionary'}","The African Queen"
Adventure,cb1d31e3-6333-11e6-95c9-a45e60eb67c5,6.8,G,1951,"{'river','africa','missionary'}","The African Queen"
War,cb1d31e3-6333-11e6-95c9-a45e60eb67c5,6.8,G,1951,"{'river','africa','missionary'}","The African Queen"
Western,cb1d0585-6333-11e6-9fbc-a45e60eb67c5,7.0,PG,1952,"{'gunslinger','showdown','u.s.-marshal'}","High Noon"
Drama,cb2ab5a8-6333-11e6-a551-a45e60eb67c5,7.2,G,1952,"{'ballet-dancer'}","Limelight"
Romance,cb2ab5a8-6333-11e6-a551-a45e60eb67c5,7.2,G,1952,"{'ballet-dancer'}","Limelight"
Comedy,cb2ab5a8-6333-11e6-a551-a45e60eb67c5,7.2,G,1952,"{'ballet-dancer'}","Limelight"
Fantasy,cb22201e-6333-11e6-8069-a45e60eb67c5,6.6,G,1953,"{'freibeuter','fairy','magic'}","Peter Pan"
Animation,cb22201e-6333-11e6-8069-a45e60eb67c5,6.6,G,1953,"{'freibeuter','fairy','magic'}","Peter Pan"
Music,cb22201e-6333-11e6-8069-a45e60eb67c5,6.6,G,1953,"{'freibeuter','fairy','magic'}","Peter Pan"
Adventure,cb22201e-6333-11e6-8069-a45e60eb67c5,6.6,G,1953,"{'freibeuter','fairy','magic'}","Peter Pan"
Family,cb22201e-6333-11e6-8069-a45e60eb67c5,6.6,G,1953,"{'freibeuter','fairy','magic'}","Peter Pan"
Mystery,cb275aab-6333-11e6-a111-a45e60eb67c5,6.7,PG-13,1953,"{'3d','wax-museum'}","House of Wax"
Horror,cb275aab-6333-11e6-a111-a45e60eb67c5,6.7,PG-13,1953,"{'3d','wax-museum'}","House of Wax"
Crime,cb275aab-6333-11e6-a111-a45e60eb67c5,6.7,PG-13,1953,"{'3d','wax-museum'}","House of Wax"
Fantasy,cb2bfa57-6333-11e6-880b-a45e60eb67c5,3.8,G,1953,"{'dr.-seuss'}","The 5,000 Fingers of Dr. T."
Music,cb2bfa57-6333-11e6-880b-a45e60eb67c5,3.8,G,1953,"{'dr.-seuss'}","The 5,000 Fingers of Dr. T."
Family,cb2bfa57-6333-11e6-880b-a45e60eb67c5,3.8,G,1953,"{'dr.-seuss'}","The 5,000 Fingers of Dr. T."
Science Fiction,cb203c17-6333-11e6-b49a-a45e60eb67c5,6.5,PG,1953,"{'space-invasion','lasergun','space-marine'}","The War of the Worlds"
Horror,cb203c17-6333-11e6-b49a-a45e60eb67c5,6.5,PG,1953,"{'space-invasion','lasergun','space-marine'}","The War of the Worlds"
Thriller,cb203c17-6333-11e6-b49a-a45e60eb67c5,6.5,PG,1953,"{'space-invasion','lasergun','space-marine'}","The War of the Worlds"
Romance,cb1d87d4-6333-11e6-a879-a45e60eb67c5,7.6,G,1953,"{'secret-identity','dance','boat'}","Roman Holiday"
Comedy,cb1d87d4-6333-11e6-a879-a45e60eb67c5,7.6,G,1953,"{'secret-identity','dance','boat'}","Roman Holiday"
Drama,cb2de2a1-6333-11e6-8142-a45e60eb67c5,6.5,PG,1953,"{'airplane','radio','survival'}","Island in the Sky"
Adventure,cb2de2a1-6333-11e6-8142-a45e60eb67c5,6.5,PG,1953,"{'airplane','radio','survival'}","Island in the Sky"
Drama,cb26f242-6333-11e6-b820-a45e60eb67c5,6.6,PG,1954,"","The Glenn Miller Story"
Music,cb26f242-6333-11e6-b820-a45e60eb67c5,6.6,PG,1954,"","The Glenn Miller Story"
History,cb26f242-6333-11e6-b820-a45e60eb67c5,6.6,PG,1954,"","The Glenn Miller Story"
Science Fiction,cb22688a-6333-11e6-b53e-a45e60eb67c5,6.6,G,1954,"{'water-monster','boat','chase'}","Creature from the Black Lagoon"
Horror,cb22688a-6333-11e6-b53e-a45e60eb67c5,6.6,G,1954,"{'water-monster','boat','chase'}","Creature from the Black Lagoon"
Adventure,cb22688a-6333-11e6-b53e-a45e60eb67c5,6.6,G,1954,"{'water-monster','boat','chase'}","Creature from the Black Lagoon"
Crime,cb1d3997-6333-11e6-897c-a45e60eb67c5,7.4,PG,1954,"{'jealousy','secret','london'}","Dial M for Murder"
Drama,cb1d64ab-6333-11e6-8f06-a45e60eb67c5,7.9,PG,1954,"{'union','murder','suspense'}","On the Waterfront"
Crime,cb1d64ab-6333-11e6-8f06-a45e60eb67c5,7.9,PG,1954,"{'union','murder','suspense'}","On the Waterfront"
