1955,cb1cf273-6333-11e6-ba81-a45e60eb67c5,7.2,"{'Drama'}",PG-13,"{'individual','street-gang','rebel'}","Rebel Without a Cause"
1955,cb2dad26-6333-11e6-b49c-a45e60eb67c5,6.7,"{'Drama','Romance'}",PG,"{'small-town','labor-day','picnic'}","Picnic"
1956,cb1e59ab-6333-11e6-b988-a45e60eb67c5,6.5,"{'Drama','Science Fiction'}",R,"","1984"
1956,cb1d9557-6333-11e6-a89a-a45e60eb67c5,7.0,"{'Science Fiction'}",G,"{'space-marine','lasergun','monster'}","Forbidden Planet"
1956,cb1d47b0-6333-11e6-bac2-a45e60eb67c5,6.6,"{'Drama','Mystery','Adventure','Thriller','Crime'}",PG,"{'scotland-yard','marocco','london'}","The Man Who Knew Too Much"
1956,cb1fa4d7-6333-11e6-8ced-a45e60eb67c5,7.1,"{'Drama','History'}",G,"{'egypt','moses','slavery'}","The Ten Commandments"
1956,cb1e28e1-6333-11e6-86c9-a45e60eb67c5,6.7,"{'Action','Drama','Western'}",G,"{'judge','hotel','jealousy'}","Giant"
1956,cb1ece78-6333-11e6-b999-a45e60eb67c5,5.8,"{'Romance','Fantasy','Comedy','Adventure','Family'}",G,"{'europe','asia','usa'}","Around the World in Eighty Days"
1956,cb2e8805-6333-11e6-9687-a45e60eb67c5,5.8,"{'Comedy'}",PG,"","The Girl Can't Help It"
1956,cb2d12c5-6333-11e6-98ca-a45e60eb67c5,5.8,"{'Drama','Romance','Comedy'}",PG,"{'exile','indie','princess'}","Anastasia"
1957,cb1d1c35-6333-11e6-836e-a45e60eb67c5,8.0,"{'Drama'}",G,"{'judge','jurors','death-penalty'}","12 Angry Men"
1957,cb1ff6fd-6333-11e6-a241-a45e60eb67c5,6.9,"{'Drama','Romance'}",PG,"{'luxury','painter','naples'}","An Affair to Remember"
1957,cb1d940f-6333-11e6-9eec-a45e60eb67c5,7.2,"{'Drama','War','History'}",PG,"{'japan','resistance','japanese'}","The Bridge on the River Kwai"
